freq,unit,geo\TIME_PERIOD	2004-Q1 	2004-Q2 	2004-Q3 	2004-Q4 	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 
Q,THS_PAS,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37 	48 	79 	86 	86 	129 	115 	111 	95 	119 	: 
Q,THS_PAS,BE	44923 	44717 	39914 	48821 	47436 	47299 	41210 	50325 	51269 	50697 	43373 	52932 	51118 	53593 	45449 	56298 	54511 	55347 	48037 	58868 	56885 	56599 	46837 	59126 	56458 	58541 	48952 	60068 	55773 	57830 	48358 	59339 	55000 	57000 	48000 	59000 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
Q,THS_PAS,BG	: 	: 	: 	: 	: 	: 	: 	: 	8127 	8958 	8589 	8438 	8304 	8520 	8413 	8046 	8213 	8769 	8638 	8139 	7625 	8078 	7992 	7666 	7192 	7730 	7679 	7502 	7115 	7805 	7820 	6548 	6211 	6899 	6863 	6535 	6205 	6775 	6756 	6324 	6041 	6396 	6274 	5904 	5400 	5907 	5760 	5450 	5123 	5497 	5630 	5176 	4872 	5521 	5620 	5181 	4877 	5596 	5650 	5207 	4958 	5584 	5686 	5101 	4590 	3533 	4663 	3998 	3701 	4344 	4888 	4209 	4143 	5854 	7006 	6063 	5048 	5693 	5876 
Q,THS_PAS,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	78220 	82557 	82839 	84666 	81963 	82478 	83839 	84716 	84805 	86486 	88297 	93022 	90094 	91511 	93883 	95000 	96064 	90163 	91485 	96431 	90578 	93483 	91973 	97176 	94510 	95694 	99826 	110934 	109087 	110883 	116194 	120227 	115133 	119280 	117775 	123408 	119342 	119986 	119142 	125068 	118643 	123270 	121125 	127597 	123978 	126102 	127831 	131313 	112214 	53871 	96025 	83057 	72489 	78581 	93383 	101544 	93864 	110535 	115737 	119862 	120078 	123710 	126592 
Q,THS_PAS,CZ	47664 	45953 	41602 	45730 	45489 	45340 	42349 	47088 	46691 	46269 	42458 	47609 	46888 	47834 	42128 	47384 	44916 	45509 	42069 	44930 	41031 	42869 	39878 	41180 	40014 	42579 	39415 	42793 	40719 	43232 	40311 	43671 	42904 	44682 	40600 	44616 	42023 	46309 	41641 	44514 	42681 	45457 	42946 	44967 	42591 	46196 	43397 	44439 	43077 	46126 	45521 	44411 	43937 	46995 	46333 	45893 	45183 	49105 	47063 	48290 	47197 	50051 	49221 	47740 	38988 	25934 	39053 	25167 	22715 	32512 	38820 	39774 	37863 	45465 	45516 	46679 	41644 	46671 	46778 
Q,THS_PAS,DE	519600 	506400 	507800 	536800 	510600 	522200 	550700 	547400 	542909 	542528 	551907 	574452 	544954 	555055 	552523 	539604 	557630 	582139 	586058 	605225 	582699 	575379 	566103 	595191 	572174 	583309 	584892 	617324 	621150 	617905 	617518 	654654 	650510 	613500 	630871 	659318 	654029 	637564 	648405 	675311 	656511 	650236 	661127 	680898 	656298 	642403 	656358 	695528 	672176 	702265 	680583 	718372 	708722 	706338 	714406 	717851 	705485 	712346 	708179 	747517 	720915 	725410 	731455 	743856 	620036 	295000 	480000 	406081 	322700 	392500 	524300 	516600 	470600 	656000 	740100 	663383 	598400 	689100 	730400 
Q,THS_PAS,DK	38604 	38642 	38947 	41469 	38067 	40885 	38670 	42141 	39075 	40972 	40071 	42316 	40135 	40518 	39902 	43773 	40517 	43058 	41300 	44226 	41240 	43417 	43455 	45002 	42495 	43665 	41917 	47011 	44591 	45510 	44736 	47490 	46914 	46715 	45225 	50142 	47508 	48221 	45719 	52014 	51298 	52156 	50514 	54343 	50942 	53105 	52651 	55555 	51167 	54221 	51450 	54353 	51903 	51877 	48866 	53921 	49536 	52850 	49548 	53306 	50616 	51452 	50992 	53537 	42110 	23303 	36991 	31493 	19656 	32027 	39862 	42190 	38309 	48549 	48831 	49218 	48392 	51519 	51393 
Q,THS_PAS,EE	1243 	1430 	1378 	1223 	1139 	1271 	1402 	1343 	1193 	1359 	1418 	1330 	1276 	1427 	1427 	1311 	1266 	1368 	1391 	1260 	1165 	1249 	1282 	1198 	1141 	1249 	1231 	1179 	1121 	1226 	1229 	1185 	1121 	1155 	1084 	1049 	928 	1018 	1090 	1160 	1236 	1480 	1645 	1562 	1522 	1686 	1715 	1666 	1640 	1787 	1743 	1752 	1740 	1887 	1852 	1955 	1865 	2046 	1898 	1950 	1957 	2163 	2105 	2147 	1800 	978 	1673 	1534 	1202 	1529 	1755 	1591 	1495 	1978 	1837 	1819 	1793 	2072 	: 
Q,THS_PAS,EL	2105 	2284 	2479 	2545 	2277 	2455 	2711 	2516 	2246 	2450 	2822 	2490 	2310 	2497 	4082 	4325 	3801 	4065 	4030 	4154 	3111 	3893 	3838 	3440 	3206 	3490 	3579 	3542 	1253 	1192 	848 	792 	3164 	3164 	3164 	3164 	3085 	3277 	3415 	3419 	3323 	3321 	3418 	3337 	3842 	4153 	4084 	3961 	4060 	3907 	3650 	3963 	3698 	3912 	4092 	3816 	3596 	3807 	4021 	5366 	4754 	4831 	4767 	5253 	3958 	1512 	2979 	1771 	1362 	2109 	3007 	3550 	3102 	3956 	3948 	4366 	3151 	3151 	: 
Q,THS_PAS,ES	151780 	151495 	132978 	155167 	152747 	163235 	137403 	159989 	161348 	160754 	140797 	163457 	162506 	160672 	136261 	158316 	156739 	160981 	137869 	156392 	147469 	147568 	127087 	149038 	139734 	144482 	123562 	145153 	144154 	146014 	126378 	148923 	145886 	142603 	121746 	145121 	143638 	144004 	122310 	148673 	141285 	144252 	124125 	149671 	140193 	144167 	128487 	149094 	140008 	149341 	130353 	150039 	148623 	151487 	134748 	158497 	150246 	163229 	140311 	165269 	161458 	160348 	139321 	165980 	131495 	35048 	77545 	85390 	81867 	100547 	99937 	122041 	120568 	134845 	127618 	158563 	161348 	164272 	157015 
Q,THS_PAS,FI	15607 	14208 	15049 	15859 	16125 	15040 	15471 	16613 	16262 	15617 	16277 	16742 	16978 	15970 	16602 	17610 	17709 	16588 	17674 	18061 	17271 	16558 	17377 	17553 	17167 	16206 	17241 	18507 	16961 	16418 	17269 	17728 	17028 	16656 	17377 	18271 	17211 	16875 	17305 	17927 	17158 	16770 	17067 	17267 	16997 	20492 	18951 	19513 	19984 	20516 	19324 	22290 	21660 	20331 	20999 	22713 	22199 	20845 	21095 	23364 	22553 	22426 	22681 	25142 	18742 	10777 	14838 	15193 	10580 	12183 	15109 	17136 	15154 	19273 	20622 	21040 	19777 	20690 	: 
Q,THS_PAS,FR	238425 	244897 	205710 	252589 	249363 	257145 	216525 	260733 	258214 	267865 	221591 	274260 	271128 	276187 	241840 	276268 	278399 	284863 	240810 	288961 	279559 	289266 	240831 	291985 	274433 	282724 	: c	: c	283979 	295752 	246947 	298611 	291619 	300087 	254024 	304566 	296492 	303165 	255409 	309757 	294757 	299392 	255370 	308159 	300863 	302264 	277874 	323200 	320482 	306643 	283122 	324750 	327264 	319693 	289621 	340616 	332562 	277789 	293647 	342610 	336644 	339925 	303462 	285299 	244776 	81365 	205988 	191724 	192935 	196795 	229212 	275455 	261711 	297005 	273282 	310411 	286303 	217006 	: 
Q,THS_PAS,HR	9301 	9070 	8409 	9968 	9749 	10141 	8981 	10835 	10481 	10593 	10029 	14941 	15523 	15547 	14716 	17187 	17853 	17714 	16954 	18279 	18835 	18805 	17639 	18123 	17714 	17781 	16505 	17421 	16452 	15636 	7564 	10200 	7256 	7210 	5786 	7324 	6575 	6370 	4936 	6336 	5928 	5633 	4312 	6017 	5734 	5454 	4235 	6226 	5656 	5388 	4118 	5547 	5045 	5158 	4080 	5520 	5203 	5235 	4238 	5568 	5156 	5076 	4139 	5455 	4761 	1697 	3111 	3530 	3105 	3385 	3020 	4023 	4180 	4672 	4613 	5116 	6015 	6185 	5459 
Q,THS_PAS,HU	37639 	39649 	38824 	43879 	36932 	39232 	38122 	39413 	36939 	39307 	37499 	40277 	36743 	39788 	33595 	39424 	35490 	37305 	34873 	37231 	35450 	37125 	33437 	36791 	35089 	35459 	33535 	36339 	35499 	36905 	35057 	38100 	36744 	37458 	35365 	38235 	36852 	37643 	36074 	37931 	36654 	37714 	35009 	36751 	36030 	37425 	34455 	36488 	36000 	37603 	35358 	37622 	36013 	: c	: c	37435 	36833 	38228 	35780 	37144 	36472 	37328 	35884 	37202 	34190 	15296 	29171 	22072 	19316 	23831 	29611 	31066 	31022 	35316 	36687 	38378 	37530 	46357 	54021 
Q,THS_PAS,IE	7686 	10436 	8020 	8408 	8415 	11070 	8721 	9449 	9452 	12780 	10345 	10775 	10190 	13829 	10706 	10638 	10093 	13846 	10452 	10256 	9176 	11946 	8900 	8790 	10077 	11910 	9185 	7054 	9792 	10181 	9931 	7470 	8992 	8984 	9520 	9421 	8807 	9102 	9581 	9640 	8784 	9351 	9588 	10082 	9114 	9722 	10299 	10525 	10113 	10422 	11014 	11265 	10429 	11254 	11888 	11934 	11012 	11996 	12439 	12512 	11854 	12428 	12870 	12908 	9796 	1196 	3539 	3399 	1684 	3886 	5678 	6163 	6461 	8531 	10070 	10784 	9569 	10443 	10521 
Q,THS_PAS,IT	131635 	130020 	114673 	128023 	133735 	133043 	115889 	134101 	139256 	142183 	122151 	136707 	142189 	146345 	128249 	141087 	147155 	154513 	140568 	146768 	143140 	151362 	141167 	148283 	151925 	162749 	151041 	155851 	157108 	150964 	125744 	123945 	211509 	214088 	185269 	202732 	207897 	217822 	185054 	203121 	211654 	219225 	184960 	205008 	212577 	222639 	187513 	206654 	204628 	214206 	187495 	215912 	213725 	220082 	191098 	223853 	215195 	222259 	198815 	230319 	218201 	225385 	203153 	236562 	149261 	45978 	98159 	88977 	84136 	111509 	127425 	157248 	139773 	180519 	167750 	193534 	190355 	208686 	: 
Q,THS_PAS,LT	1677 	1494 	1686 	1531 	1515 	1428 	1659 	1478 	1372 	1336 	1741 	1039 	1065 	1096 	1266 	1052 	1006 	1054 	1272 	1116 	945 	947 	1064 	863 	850 	955 	1047 	944 	920 	1044 	1126 	1038 	960 	1082 	1163 	1046 	1021 	1134 	1162 	1028 	945 	1046 	1127 	1008 	858 	988 	1018 	927 	883 	985 	1083 	964 	962 	1114 	1087 	1014 	974 	1203 	1256 	1232 	1201 	1330 	1287 	1173 	988 	573 	1020 	656 	519 	1046 	1204 	1179 	925 	1195 	1292 	1052 	986 	1247 	1306 
Q,THS_PAS,LU	3741 	3447 	2858 	3639 	3703 	3644 	2904 	3803 	3927 	3694 	3278 	3894 	4355 	4133 	3589 	4364 	4520 	4591 	3927 	4637 	4539 	4196 	3835 	4469 	4657 	4353 	4198 	4731 	: c	: c	4115 	4573 	5140 	4830 	4482 	5239 	5234 	5240 	4781 	5458 	5423 	5192 	5216 	5672 	5694 	5596 	5202 	6004 	5953 	5763 	5079 	5664 	5724 	5803 	5305 	6099 	6322 	5793 	4768 	6449 	6461 	6239 	5690 	6625 	5560 	1346 	3309 	4313 	3791 	4147 	3794 	4864 	5256 	4997 	5322 	6460 	6974 	6846 	: 
Q,THS_PAS,LV	5307 	5871 	6890 	5788 	5498 	6526 	7567 	6324 	5864 	6572 	7781 	7170 	6083 	7076 	7679 	6582 	5880 	6791 	7558 	6474 	5552 	5651 	5454 	4847 	4849 	5207 	5929 	4819 	4463 	5269 	5914 	4801 	4403 	5066 	5584 	4655 	4337 	5103 	5561 	4729 	4403 	4958 	5742 	4087 	3831 	4324 	4953 	3956 	3663 	4493 	4937 	4136 	3899 	4446 	4938 	4211 	3907 	4808 	5178 	4348 	4075 	4871 	5256 	4421 	3755 	2343 	4117 	2648 	1924 	2716 	3625 	2779 	2827 	4051 	4835 	3982 	3706 	4514 	4819 
Q,THS_PAS,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	194 	255 	360 	190 	200 	280 	374 	177 	157 	215 	310 	170 	125 	185 	302 	143 	123 	173 	247 	149 	134 	185 	292 	170 	160 	205 	307 	250 	239 	278 	339 	266 	240 	317 	394 	285 	271 	291 	453 	269 	216 	232 	278 	201 	190 	258 	328 	215 	192 	256 	327 	211 	154 	57 	164 	98 	68 	135 	226 	126 	126 	214 	270 	164 	147 	223 	: 
Q,THS_PAS,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	364 	407 	355 	397 	346 	398 	379 	389 	338 	377 	352 	354 	288 	252 	243 	229 	198 	221 	220 	215 	182 	191 	208 	221 	155 	205 	309 	353 	167 	170 	165 	162 	102 	131 	125 	143 	132 	148 	124 	136 	130 	147 	124 	148 	93 	28 	68 	64 	59 	64 	66 	64 	61 	105 	108 	131 	102 	73 	56 
Q,THS_PAS,NL	: c	: c	: c	84551 	80746 	83573 	76390 	90201 	83890 	85487 	78843 	90251 	86403 	86722 	81833 	92544 	85164 	85702 	77579 	91621 	84488 	85022 	86288 	83659 	85321 	85376 	82610 	93467 	85824 	84108 	78319 	87946 	93162 	88508 	100317 	93850 	83795 	84283 	79277 	89328 	84486 	84973 	79968 	89752 	97996 	98261 	93034 	102862 	97798 	98063 	92836 	102664 	97600 	97865 	92638 	102466 	97401 	97667 	92440 	102268 	97203 	97469 	92242 	102070 	79355 	20772 	41324 	40090 	30973 	45034 	59752 	71406 	63730 	85692 	76232 	93289 	87245 	90988 	86181 
Q,THS_PAS,NO	12502 	12340 	13294 	13264 	12571 	13104 	13319 	13271 	12915 	12640 	13582 	13918 	14012 	13840 	14786 	14294 	13946 	13868 	14923 	14941 	13821 	13580 	14425 	14733 	13951 	13890 	14600 	15223 	14534 	14245 	14532 	15008 	16241 	15673 	14640 	16000 	17494 	17749 	16245 	16699 	17419 	17904 	17412 	17604 	18326 	18983 	18331 	18515 	18936 	19546 	19414 	17307 	18956 	18354 	17443 	19797 	19226 	20388 	18305 	20834 	20887 	20586 	18235 	21592 	17425 	6989 	9425 	8655 	6925 	8796 	10886 	14795 	13686 	17323 	16834 	19069 	19323 	19542 	18433 
Q,THS_PAS,PL	68218 	67282 	61270 	69513 	62344 	62075 	59612 	66338 	66317 	64476 	59792 	64410 	63917 	63874 	65345 	68651 	68390 	67617 	67458 	68802 	66642 	66459 	65305 	65309 	60109 	60505 	59503 	61344 	59684 	60252 	58833 	60193 	62155 	63264 	61107 	62881 	63005 	65162 	63752 	65633 	64640 	63537 	61603 	61991 	64307 	67434 	64520 	68062 	65518 	69973 	68689 	69449 	71440 	73545 	70277 	72922 	72009 	77299 	77792 	80482 	79251 	81605 	84315 	87787 	71357 	29562 	58774 	42995 	41890 	52480 	71282 	72622 	69089 	84602 	88394 	90517 	85310 	90836 	92138 
Q,THS_PAS,PT	38161 	39223 	36653 	38527 	37609 	38792 	35985 	38787 	38815 	39472 	37061 	39285 	39336 	39232 	37510 	40638 	39513 	40459 	38687 	39800 	38441 	39152 	37630 	38570 	37885 	38847 	37351 	38925 	38623 	38077 	36137 	36428 	35176 	33669 	31370 	31999 	30466 	32571 	30744 	32356 	31378 	32325 	31893 	32699 	31958 	32937 	32339 	33189 	32184 	33805 	33360 	34544 	34171 	36027 	35455 	36100 	35282 	37537 	36765 	37890 	37148 	43038 	46132 	49015 	39523 	12683 	27556 	28277 	18872 	28159 	32839 	39770 	37559 	43435 	44634 	45926 	44311 	49016 	53188 
Q,THS_PAS,RO	23570 	26291 	25095 	23718 	23686 	22751 	22460 	22609 	23744 	23669 	22853 	22980 	23883 	22331 	20121 	19419 	20092 	19269 	18558 	17424 	17364 	16833 	16192 	15149 	14727 	15115 	14077 	13751 	15379 	15860 	15116 	13801 	13298 	14568 	14457 	14096 	13847 	14445 	14609 	13521 	15834 	16386 	16849 	15682 	14852 	15496 	15998 	14872 	14470 	14808 	15472 	14109 	15799 	17055 	16591 	17885 	15324 	16365 	16372 	16654 	16487 	17010 	17364 	17049 	14898 	9067 	13597 	11526 	12082 	12637 	14912 	12928 	14565 	18123 	18561 	18068 	17826 	18325 	: 
Q,THS_PAS,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	628 	1595 	1518 	1950 	1547 	1738 	: 
Q,THS_PAS,SE	37434 	36203 	33668 	39310 	37520 	37126 	34773 	40639 	39478 	38518 	36803 	44268 	41943 	41313 	39218 	46594 	44745 	44771 	42389 	47024 	45394 	45200 	41640 	46861 	43925 	45005 	43026 	47387 	45979 	46664 	45658 	48753 	48214 	48250 	46215 	50484 	49398 	50535 	48276 	52254 	51016 	51142 	48933 	54392 	53862 	53194 	50546 	56832 	54273 	55793 	51587 	59293 	57848 	57652 	52700 	61615 	60926 	62259 	56927 	66378 	65885 	66840 	62979 	68898 	63109 	30624 	38255 	37175 	31339 	35757 	42645 	54750 	: c	: c	: c	: c	: c	: c	: c
Q,THS_PAS,SI	4103 	3636 	3042 	4054 	4221 	3883 	3304 	4334 	4229 	3975 	3394 	4533 	4119 	3885 	3762 	4358 	4236 	3897 	3888 	4236 	4145 	3804 	3830 	4191 	4151 	3839 	3659 	4133 	4091 	3688 	3571 	3967 	4092 	3508 	3311 	4175 	4103 	3853 	3989 	4050 	3997 	3483 	3223 	3732 	3628 	3366 	3381 	3760 	3524 	3335 	3308 	3482 	3281 	3137 	3147 	3437 	3288 	3165 	3178 	3474 	3277 	3197 	3257 	3529 	2779 	1377 	2126 	1642 	2471 	2792 	3074 	3326 	3302 	3439 	3420 	3748 	3657 	3317 	3498 
Q,THS_PAS,SK	12758 	12635 	12008 	12924 	12608 	12485 	12051 	13245 	12204 	11832 	11616 	12433 	11648 	11921 	11477 	12016 	11772 	12335 	12013 	12444 	11109 	11910 	11413 	11743 	11405 	11708 	11321 	12149 	11729 	12072 	11701 	12029 	11567 	11243 	11022 	11299 	10425 	11366 	11092 	11146 	11681 	12426 	12003 	13137 	14632 	14400 	15062 	16664 	17002 	17231 	16816 	17537 	18465 	19536 	19055 	19234 	18343 	19866 	20196 	19930 	19842 	20456 	21152 	20628 	16322 	7937 	15345 	9455 	6556 	11403 	15382 	13020 	13671 	18184 	17903 	18255 	17150 	18471 	19338 
Q,THS_PAS,TR	17675 	19460 	19706 	19914 	18663 	19697 	19026 	18919 	18397 	20134 	19016 	19867 	19792 	21059 	19928 	20480 	20203 	20965 	17835 	20184 	18765 	21063 	19820 	20445 	19879 	21787 	20487 	22020 	21685 	23254 	20522 	20291 	18258 	18461 	16386 	17180 	15249 	12162 	7332 	11674 	17451 	19682 	18924 	22346 	22736 	24201 	22421 	25960 	23965 	23481 	19320 	22272 	20651 	21328 	20406 	23269 	22663 	24977 	24476 	28452 	27098 	42211 	43628 	51544 	41026 	9327 	25873 	23240 	21678 	22578 	39580 	52202 	50574 	60432 	56686 	68438 	59504 	63175 	: 
Q,THS_PAS,UK	264878 	260330 	265318 	279146 	267571 	277348 	268673 	290076 	274831 	283846 	289090 	309100 	299074 	301797 	311226 	326403 	318299 	327509 	326069 	332715 	319803 	312114 	312028 	327606 	339405 	331193 	342860 	352387 	362083 	354954 	366901 	379654 	394642 	368724 	385533 	395126 	389959 	395867 	401194 	412914 	416541 	404097 	418729 	440361 	431992 	424958 	433405 	451833 	447336 	437421 	435818 	451981 	445689 	426419 	437092 	448159 	437127 	439484 	445615 	461161 	453939 	449794 	460411 	472741 	401514 	36244 	137564 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
